player,team,zone,total_points,total_attempts,made_shots,fg_percentage
C. John,Hamilton Honey Badgers,left_corner,6,4,2,0.5
J. Mukama,Hamilton Honey Badgers,left_corner,6,5,2,0.4
J. Rocca,Hamilton Honey Badgers,left_corner,6,2,2,1.0
L. Wigginton,Hamilton Honey Badgers,left_short_corner,3,1,1,1.0
C. John,Hamilton Honey Badgers,left_short_corner,2,2,1,0.5
D. Denzel-Dyson,Hamilton Honey Badgers,left_short_corner,2,1,1,1.0
A. Johnson,Hamilton Honey Badgers,left_wing_three,6,5,2,0.4
D. Denzel-Dyson,Hamilton Honey Badgers,left_wing_three,6,5,2,0.4
J. Mukama,Hamilton Honey Badgers,left_wing_three,6,4,2,0.5
A. Best,Hamilton Honey Badgers,restricted_area,20,17,10,0.5882352941176471
J. Mukama,Hamilton Honey Badgers,restricted_area,18,13,9,0.6923076923076923
J. Tilmon,Hamilton Honey Badgers,restricted_area,18,11,9,0.8181818181818182
C. John,Hamilton Honey Badgers,right_corner,3,2,1,0.5
K. Johnson,Hamilton Honey Badgers,right_corner,3,3,1,0.3333333333333333
K. McEwen,Hamilton Honey Badgers,right_corner,3,2,1,0.5
X. Rathan-Mayes,Hamilton Honey Badgers,right_short_corner,6,7,3,0.42857142857142855
S. Carter,Hamilton Honey Badgers,right_short_corner,5,2,2,1.0
B. Weber,Hamilton Honey Badgers,right_short_corner,4,4,2,0.5
J. Mukama,Hamilton Honey Badgers,right_wing_three,18,10,6,0.6
X. Rathan-Mayes,Hamilton Honey Badgers,right_wing_three,18,14,6,0.42857142857142855
K. McEwen,Hamilton Honey Badgers,right_wing_three,9,4,3,0.75
B. Weber,Hamilton Honey Badgers,top_key_midrange,8,5,4,0.8
J. Tilmon,Hamilton Honey Badgers,top_key_midrange,8,6,4,0.6666666666666666
C. Agada,Hamilton Honey Badgers,top_key_midrange,6,5,3,0.6
K. McEwen,Hamilton Honey Badgers,top_key_three,6,5,2,0.4
M. Burnatowski,Hamilton Honey Badgers,top_key_three,6,5,2,0.4
R. Tarrant Jr.,Hamilton Honey Badgers,top_key_three,6,4,2,0.5
