player,team,zone,total_points,total_attempts,made_shots,fg_percentage
D. Bernard,Saskatchewan Rattlers,left_corner,3,2,1,0.5
M. Benlevi,Saskatchewan Rattlers,left_corner,3,2,1,0.5
M. Nuga,Saskatchewan Rattlers,left_corner,3,1,1,1.0
A. Tsegakele,Saskatchewan Rattlers,left_short_corner,2,1,1,1.0
B. Massey,Saskatchewan Rattlers,left_short_corner,2,1,1,1.0
C. Posthumus,Saskatchewan Rattlers,left_short_corner,2,1,1,1.0
T. Carr,Saskatchewan Rattlers,left_wing_three,6,7,2,0.2857142857142857
A. Campbell,Saskatchewan Rattlers,left_wing_three,3,6,1,0.16666666666666666
D. Bandoo,Saskatchewan Rattlers,left_wing_three,3,2,1,0.5
J. Tshimanga,Saskatchewan Rattlers,restricted_area,28,18,14,0.7777777777777778
S. Keith,Saskatchewan Rattlers,restricted_area,16,12,8,0.6666666666666666
S. Osayande,Saskatchewan Rattlers,restricted_area,16,15,8,0.5333333333333333
M. Johnson,Saskatchewan Rattlers,right_corner,3,1,1,1.0
N. Webster-Chan,Saskatchewan Rattlers,right_corner,3,3,1,0.3333333333333333
S. Lindsey,Saskatchewan Rattlers,right_corner,3,2,1,0.5
D. Bandoo,Saskatchewan Rattlers,right_short_corner,11,7,5,0.7142857142857143
J. Tshimanga,Saskatchewan Rattlers,right_short_corner,2,3,1,0.3333333333333333
N. Webster-Chan,Saskatchewan Rattlers,right_short_corner,2,1,1,1.0
M. Benlevi,Saskatchewan Rattlers,right_wing_three,9,4,3,0.75
B. Massey,Saskatchewan Rattlers,right_wing_three,6,2,2,1.0
A. Campbell,Saskatchewan Rattlers,right_wing_three,3,4,1,0.25
A. Campbell,Saskatchewan Rattlers,top_key_midrange,4,4,2,0.5
J. Tshimanga,Saskatchewan Rattlers,top_key_midrange,4,2,2,1.0
J. Pryce,Saskatchewan Rattlers,top_key_midrange,2,2,1,0.5
N. Webster-Chan,Saskatchewan Rattlers,top_key_three,6,2,2,1.0
A. Campbell,Saskatchewan Rattlers,top_key_three,3,3,1,0.3333333333333333
D. Bandoo,Saskatchewan Rattlers,top_key_three,3,1,1,1.0
