player,team,zone,total_points,total_attempts,made_shots,fg_percentage
A. Hill,Guelph Nighthawks,left_corner,3,3,1,0.3333333333333333
M. Calloo,Guelph Nighthawks,left_corner,3,2,1,0.5
T. Green,Guelph Nighthawks,left_corner,3,2,1,0.5
C. Barber,Guelph Nighthawks,left_short_corner,4,6,2,0.3333333333333333
G. Bezhanishvili,Guelph Nighthawks,left_short_corner,2,1,1,1.0
T. Green,Guelph Nighthawks,left_short_corner,2,1,1,1.0
M. Bryson,Guelph Nighthawks,left_wing_three,9,4,3,0.75
A. Hill,Guelph Nighthawks,left_wing_three,6,3,2,0.6666666666666666
S. Smith,Guelph Nighthawks,left_wing_three,6,3,2,0.6666666666666666
S. Miller-Moore,Guelph Nighthawks,restricted_area,18,11,9,0.8181818181818182
C. Barber,Guelph Nighthawks,restricted_area,12,12,6,0.5
O. Ashaolu,Guelph Nighthawks,restricted_area,8,6,4,0.6666666666666666
C. Barber,Guelph Nighthawks,right_corner,3,1,1,1.0
M. Calloo,Guelph Nighthawks,right_corner,3,1,1,1.0
A. Hill,Guelph Nighthawks,right_corner,0,2,0,0.0
C. Barber,Guelph Nighthawks,right_short_corner,6,6,3,0.5
A. Hill,Guelph Nighthawks,right_short_corner,2,5,1,0.2
K. Mackenzie,Guelph Nighthawks,right_short_corner,2,2,1,0.5
A. Hill,Guelph Nighthawks,right_wing_three,18,10,6,0.6
C. Barber,Guelph Nighthawks,right_wing_three,6,4,2,0.5
K. Mackenzie,Guelph Nighthawks,right_wing_three,6,5,2,0.4
C. Barber,Guelph Nighthawks,top_key_midrange,4,7,2,0.2857142857142857
G. Bezhanishvili,Guelph Nighthawks,top_key_midrange,4,4,2,0.5
A. Hill,Guelph Nighthawks,top_key_midrange,2,8,1,0.125
A. Hill,Guelph Nighthawks,top_key_three,3,1,1,1.0
C. Barber,Guelph Nighthawks,top_key_three,3,3,1,0.3333333333333333
T. Green,Guelph Nighthawks,top_key_three,3,1,1,1.0
