player,team,zone,total_points,total_attempts,made_shots,fg_percentage
S. Hildebrandt,Winnipeg Sea Bears,left_corner,3,2,1,0.5
S. Lindsey,Winnipeg Sea Bears,left_corner,3,1,1,1.0
A. Hess,Winnipeg Sea Bears,left_corner,0,2,0,0.0
J. Ogungbemi-Jackson,Winnipeg Sea Bears,left_short_corner,2,2,1,0.5
S. Lindsey,Winnipeg Sea Bears,left_short_corner,2,1,1,1.0
E. Akot,Winnipeg Sea Bears,left_short_corner,0,1,0,0.0
S. Hildebrandt,Winnipeg Sea Bears,left_wing_three,6,3,2,0.6666666666666666
E. Akot,Winnipeg Sea Bears,left_wing_three,0,1,0,0.0
J. Watson-Gayle,Winnipeg Sea Bears,left_wing_three,0,1,0,0.0
T. Allen,Winnipeg Sea Bears,restricted_area,12,12,6,0.5
E. Akot,Winnipeg Sea Bears,restricted_area,10,5,5,1.0
J. Watson-Gayle,Winnipeg Sea Bears,restricted_area,6,6,3,0.5
J. Watson-Gayle,Winnipeg Sea Bears,right_corner,3,2,1,0.5
S. Lindsey,Winnipeg Sea Bears,right_corner,3,2,1,0.5
A. Hess,Winnipeg Sea Bears,right_corner,0,3,0,0.0
T. Allen,Winnipeg Sea Bears,right_short_corner,6,4,3,0.75
J. Wright-Foreman,Winnipeg Sea Bears,right_short_corner,4,4,2,0.5
A. Hess,Winnipeg Sea Bears,right_short_corner,2,1,1,1.0
J. Watson-Gayle,Winnipeg Sea Bears,right_wing_three,6,3,2,0.6666666666666666
A. Campbell,Winnipeg Sea Bears,right_wing_three,3,1,1,1.0
A. Hess,Winnipeg Sea Bears,right_wing_three,3,2,1,0.5
E. Akot,Winnipeg Sea Bears,top_key_midrange,2,2,1,0.5
J. Wright-Foreman,Winnipeg Sea Bears,top_key_midrange,2,1,1,1.0
J. Watson-Gayle,Winnipeg Sea Bears,top_key_midrange,0,1,0,0.0
J. Wright-Foreman,Winnipeg Sea Bears,top_key_three,6,5,2,0.4
E. Akot,Winnipeg Sea Bears,top_key_three,3,2,1,0.5
T. Allen,Winnipeg Sea Bears,top_key_three,3,3,1,0.3333333333333333
